"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\Downloads\project\src\components\AIAnalytics.tsx", "TypeScript JSX", 277, 12, 28, 317
"c:\Users\dell\Downloads\project\src\components\AirQuality.tsx", "TypeScript JSX", 180, 6, 12, 198
"c:\Users\dell\Downloads\project\src\components\AlertsList.tsx", "TypeScript JSX", 179, 4, 22, 205
"c:\Users\dell\Downloads\project\src\components\AlertsPanel.tsx", "TypeScript JSX", 230, 5, 19, 254
"c:\Users\dell\Downloads\project\src\components\BillingHistory.tsx", "TypeScript JSX", 165, 0, 13, 178
"c:\Users\dell\Downloads\project\src\components\CitizenReports.tsx", "TypeScript JSX", 286, 5, 19, 310
"c:\Users\dell\Downloads\project\src\components\CookiePolicy.tsx", "TypeScript JSX", 331, 16, 33, 380
"c:\Users\dell\Downloads\project\src\components\CustomizationPanel.tsx", "TypeScript JSX", 186, 5, 19, 210
"c:\Users\dell\Downloads\project\src\components\Dashboard.tsx", "TypeScript JSX", 449, 13, 44, 506
"c:\Users\dell\Downloads\project\src\components\EnvironmentalMap.tsx", "TypeScript JSX", 411, 22, 41, 474
"c:\Users\dell\Downloads\project\src\components\Footer.tsx", "TypeScript JSX", 250, 7, 14, 271
"c:\Users\dell\Downloads\project\src\components\Header.tsx", "TypeScript JSX", 738, 24, 52, 814
"c:\Users\dell\Downloads\project\src\components\IoTDashboard.tsx", "TypeScript JSX", 284, 7, 26, 317
"c:\Users\dell\Downloads\project\src\components\LoginPage.tsx", "TypeScript JSX", 216, 11, 27, 254
"c:\Users\dell\Downloads\project\src\components\NoiseMonitoring.tsx", "TypeScript JSX", 210, 7, 15, 232
"c:\Users\dell\Downloads\project\src\components\PolicyPages.tsx", "TypeScript JSX", 177, 0, 28, 205
"c:\Users\dell\Downloads\project\src\components\PredictiveAnalytics.tsx", "TypeScript JSX", 317, 7, 16, 340
"c:\Users\dell\Downloads\project\src\components\PredictiveInsights.tsx", "TypeScript JSX", 216, 6, 20, 242
"c:\Users\dell\Downloads\project\src\components\PricingPage.tsx", "TypeScript JSX", 447, 14, 33, 494
"c:\Users\dell\Downloads\project\src\components\PrivacyPolicy.tsx", "TypeScript JSX", 232, 10, 24, 266
"c:\Users\dell\Downloads\project\src\components\QuickStats.tsx", "TypeScript JSX", 157, 5, 16, 178
"c:\Users\dell\Downloads\project\src\components\RecentActivity.tsx", "TypeScript JSX", 160, 4, 16, 180
"c:\Users\dell\Downloads\project\src\components\SecurityPanel.tsx", "TypeScript JSX", 329, 8, 23, 360
"c:\Users\dell\Downloads\project\src\components\SensorSetup.tsx", "TypeScript JSX", 285, 5, 24, 314
"c:\Users\dell\Downloads\project\src\components\SubscriptionManagement.tsx", "TypeScript JSX", 245, 2, 23, 270
"c:\Users\dell\Downloads\project\src\components\SubscriptionStatus.tsx", "TypeScript JSX", 179, 0, 18, 197
"c:\Users\dell\Downloads\project\src\components\SuccessPage.tsx", "TypeScript JSX", 214, 7, 23, 244
"c:\Users\dell\Downloads\project\src\components\TermsOfService.tsx", "TypeScript JSX", 258, 12, 26, 296
"c:\Users\dell\Downloads\project\src\components\UserProfile.tsx", "TypeScript JSX", 792, 19, 52, 863
"c:\Users\dell\Downloads\project\src\components\VoiceInterface.tsx", "TypeScript JSX", 214, 10, 22, 246
"c:\Users\dell\Downloads\project\src\components\WaterQuality.tsx", "TypeScript JSX", 230, 7, 11, 248
"c:\Users\dell\Downloads\project\src\components\auth\LoginPage.tsx", "TypeScript JSX", 211, 11, 27, 249
"c:\Users\dell\Downloads\project\src\components\auth\SignUpPage.tsx", "TypeScript JSX", 278, 13, 30, 321
"Total", "-", 9333, 284, 816, 10433