"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Downloads\project\src\App.tsx", "TypeScript JSX", 0, 321, 0, 7, 27, 355
"c:\Users\dell\Downloads\project\src\hooks\useAuth.ts", "TypeScript", 81, 0, 0, 3, 14, 98
"c:\Users\dell\Downloads\project\src\index.css", "PostCSS", 0, 0, 1242, 55, 234, 1531
"c:\Users\dell\Downloads\project\src\main.tsx", "TypeScript JSX", 0, 9, 0, 0, 1, 10
"c:\Users\dell\Downloads\project\src\services\aiService.ts", "TypeScript", 371, 0, 0, 15, 85, 471
"c:\Users\dell\Downloads\project\src\services\authService.ts", "TypeScript", 322, 0, 0, 20, 60, 402
"c:\Users\dell\Downloads\project\src\services\databaseService.ts", "TypeScript", 139, 0, 0, 10, 21, 170
"c:\Users\dell\Downloads\project\src\services\hardwareService.ts", "TypeScript", 212, 0, 0, 15, 30, 257
"c:\Users\dell\Downloads\project\src\services\securityService.ts", "TypeScript", 205, 0, 0, 22, 52, 279
"c:\Users\dell\Downloads\project\src\services\sensorService.ts", "TypeScript", 347, 0, 0, 9, 41, 397
"c:\Users\dell\Downloads\project\src\services\stripeService.ts", "TypeScript", 124, 0, 0, 5, 24, 153
"c:\Users\dell\Downloads\project\src\services\supabaseClient.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"c:\Users\dell\Downloads\project\src\stripe-config.ts", "TypeScript", 62, 0, 0, 0, 3, 65
"c:\Users\dell\Downloads\project\src\types\sensor.ts", "TypeScript", 72, 0, 0, 0, 5, 77
"c:\Users\dell\Downloads\project\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 1942, 330, 1242, 162, 601, 4277